INFO 2024-10-29 23:05:37,467 Watching for file changes with StatReloader
INFO 2024-10-29 23:07:23,714 "GET /staff/list/ HTTP/1.1" 200 9687
INFO 2024-10-29 23:07:24,159 "GET /student/list HTTP/1.1" 200 9946
INFO 2024-10-29 23:07:25,392 "GET /student/create/ HTTP/1.1" 200 13612
INFO 2024-10-29 23:07:27,949 "GET /student/upload/ HTTP/1.1" 200 10001
INFO 2024-10-29 23:07:50,810 "GET /student/list HTTP/1.1" 200 9946
INFO 2024-10-29 23:07:54,240 "GET /student/list HTTP/1.1" 200 9946
INFO 2024-10-29 23:07:58,769 "GET /student/list HTTP/1.1" 200 9946
INFO 2024-10-29 23:08:03,079 "GET /student/create/ HTTP/1.1" 200 13612
INFO 2024-10-29 23:08:08,955 "GET /student/upload/ HTTP/1.1" 200 10001
INFO 2024-10-29 23:08:12,581 "GET /student/download-csv/ HTTP/1.1" 200 94
INFO 2024-10-29 23:08:35,663 "GET /staff/list/ HTTP/1.1" 200 9687
INFO 2024-10-29 23:08:35,712 "GET /static/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 304 0
INFO 2024-10-29 23:08:35,716 "GET /static/plugins/jquery/jquery.min.js HTTP/1.1" 304 0
INFO 2024-10-29 23:08:35,716 "GET /static/dist/css/adminlte.min.css HTTP/1.1" 304 0
INFO 2024-10-29 23:08:35,717 "GET /static/dist/js/jquery.formset.js HTTP/1.1" 304 0
INFO 2024-10-29 23:08:35,717 "GET /static/plugins/toastr/toastr.min.css HTTP/1.1" 304 0
INFO 2024-10-29 23:08:35,717 "GET /static/plugins/Datatables/datatables.min.css HTTP/1.1" 304 0
INFO 2024-10-29 23:08:35,717 "GET /static/plugins/overlayScrollbars/css/OverlayScrollbars.min.css HTTP/1.1" 304 0
INFO 2024-10-29 23:08:35,718 "GET /static/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 0
INFO 2024-10-29 23:08:35,719 "GET /static/dist/js/adminlte.js HTTP/1.1" 304 0
INFO 2024-10-29 23:08:35,719 "GET /static/plugins/toastr/toastr.min.js HTTP/1.1" 304 0
INFO 2024-10-29 23:08:35,719 "GET /static/plugins/overlayScrollbars/js/jquery.overlayScrollbars.min.js HTTP/1.1" 304 0
INFO 2024-10-29 23:08:35,719 "GET /static/dist/js/demo.js HTTP/1.1" 304 0
INFO 2024-10-29 23:08:35,719 "GET /static/plugins/Datatables/datatables.min.js HTTP/1.1" 304 0
INFO 2024-10-29 23:08:35,948 "GET /student/list HTTP/1.1" 200 9946
INFO 2024-10-29 23:08:37,237 "GET /current-session/ HTTP/1.1" 200 10518
INFO 2024-10-29 23:08:38,319 "GET / HTTP/1.1" 200 9290
INFO 2024-10-29 23:08:42,446 "GET / HTTP/1.1" 200 9290
INFO 2024-10-29 23:08:45,893 "GET /finance/list/ HTTP/1.1" 200 9925
INFO 2024-10-29 23:08:46,891 "GET /result/create/ HTTP/1.1" 200 10386
INFO 2024-10-29 23:08:50,250 "GET /student/list HTTP/1.1" 200 9946
INFO 2024-10-29 23:08:51,220 "GET /student/create/ HTTP/1.1" 200 13612
INFO 2024-10-29 23:09:20,616 "POST /student/create/ HTTP/1.1" 200 13783
INFO 2024-10-29 23:09:31,930 "POST /student/create/ HTTP/1.1" 200 13786
INFO 2024-10-29 23:12:09,941 "POST /student/create/ HTTP/1.1" 302 0
INFO 2024-10-29 23:12:09,962 "GET /student/1/ HTTP/1.1" 200 11266
INFO 2024-10-29 23:12:10,004 "GET /static/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 304 0
INFO 2024-10-29 23:12:10,007 "GET /static/plugins/toastr/toastr.min.css HTTP/1.1" 304 0
INFO 2024-10-29 23:12:10,007 "GET /static/plugins/overlayScrollbars/css/OverlayScrollbars.min.css HTTP/1.1" 304 0
INFO 2024-10-29 23:12:10,007 "GET /static/plugins/Datatables/datatables.min.css HTTP/1.1" 304 0
INFO 2024-10-29 23:12:10,007 "GET /static/dist/css/adminlte.min.css HTTP/1.1" 304 0
INFO 2024-10-29 23:12:10,007 "GET /static/plugins/jquery/jquery.min.js HTTP/1.1" 304 0
INFO 2024-10-29 23:12:10,010 "GET /static/dist/js/jquery.formset.js HTTP/1.1" 304 0
INFO 2024-10-29 23:12:10,010 "GET /static/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 0
INFO 2024-10-29 23:12:10,010 "GET /static/plugins/toastr/toastr.min.js HTTP/1.1" 304 0
